Index;Version ID;Version Name;Date
1;12320044;1.0.0-incubating;2012-08-06
2;12322540;1.0.1-incubating;2012-08-29
3;12323346;1.0.3-incubating;2012-09-30
4;12323254;1.0.2-incubating;2012-10-02
5;12323474;1.0.4;2012-12-10
6;12323749;1.0.5;2013-01-23
7;12324001;1.0.6;2013-02-27
8;12324104;1.0.7;2013-03-26
9;12322504;1.1.0;2013-04-05
10;12324279;1.0.8;2013-04-18
11;12324290;1.1.1;2013-04-29
12;12324382;1.1.2;2013-06-11
13;12324604;1.1.3;2013-07-12
14;12324763;1.1.4;2013-09-27
15;12325150;1.1.5;2013-11-28
16;12325662;1.1.6;2014-02-22
17;12326288;1.1.7;2014-04-11
18;12326735;1.1.8;2014-07-03
19;12322505;1.2.0-M1;2014-09-08
20;12328548;1.2.0;2014-10-03
21;12328766;1.2.1;2014-11-17
22;12329017;1.2.2;2015-01-30
23;12329368;1.2.3;2015-03-20
24;12329742;1.2.4;2015-05-05
25;12332351;1.2.5;2015-07-28
26;12333143;1.2.6;2015-11-05
27;12322508;2.0.0-M1;2015-12-23
28;12334148;1.2.7;2016-01-15
29;12334365;2.0.0-M2;2016-03-21
30;12335843;2.0.0-M3;2016-06-03
31;12336944;2.0.0-M4;2016-06-24
32;12335350;2.0.0.M5;2016-09-02
33;12338165;2.0.0;2016-09-09
34;12336041;1.2.9;2016-10-07
35;12338232;2.0.1;2016-10-21
36;12338393;1.2.10;2017-01-24
37;12338573;2.0.2;2017-01-27
38;12339252;2.0.3;2017-04-15
39;12340328;2.0.4;2017-07-03
40;12341027;2.0.5;2017-09-06
41;12341555;2.0.6;2017-10-09
42;12341740;2.0.7;2017-12-22
43;12342331;2.0.8;2018-03-13
44;12342943;2.0.9;2018-06-28
45;12334366;2.1.0;2018-07-05
46;12343589;2.1.1;2018-08-17
47;12343903;2.1.2;2018-11-02
48;12344406;2.1.3;2019-01-17
49;12344849;2.1.4;2019-04-19
50;12345390;2.1.5;2019-09-12
51;12346168;2.1.6;2020-04-29
