Dataset,Training_Release,%Training,%Defective_training,%Defective_testing,Classifier,Balancing,Feature_Selection,TP,FP,TN,FN,Precision,Recall,ROC_Area,Kappa
BOOKKEEPER,1,0.07321537522879805,0.42083333333333334,0.23920265780730898,Random Forest,No sampling,No selection,26,18,211,46,0.5909090909090909,0.3611111111111111,0.7981865599223678,0.3259622113365991
BOOKKEEPER,1,0.07321537522879805,0.42083333333333334,0.23920265780730898,Random Forest,Oversampling,No selection,35,25,204,37,0.5833333333333334,0.4861111111111111,0.7589459000485201,0.39978129422359443
BOOKKEEPER,1,0.07321537522879805,0.42083333333333334,0.23920265780730898,Random Forest,Undersampling,No selection,29,22,207,43,0.5686274509803921,0.4027777777777778,0.7756853469189714,0.3407796758650899
BOOKKEEPER,1,0.07321537522879805,0.42083333333333334,0.23920265780730898,Random Forest,SMOTE,No selection,29,18,211,43,0.6170212765957447,0.4027777777777778,0.7927886948083455,0.3679735637327459
BOOKKEEPER,1,0.07321537522879805,0.42083333333333334,0.23920265780730898,Random Forest,No sampling,CFS con Best First,31,22,207,41,0.5849056603773585,0.4305555555555556,0.8028869480834546,0.36775247557763474
BOOKKEEPER,1,0.07321537522879805,0.42083333333333334,0.23920265780730898,Random Forest,Oversampling,CFS con Best First,26,22,207,46,0.5416666666666666,0.3611111111111111,0.7847525473071325,0.29923308682552724
BOOKKEEPER,1,0.07321537522879805,0.42083333333333334,0.23920265780730898,Random Forest,Undersampling,CFS con Best First,28,23,206,44,0.5490196078431373,0.3888888888888889,0.7923641436196022,0.3204959735840156
BOOKKEEPER,1,0.07321537522879805,0.42083333333333334,0.23920265780730898,Random Forest,SMOTE,CFS con Best First,31,22,207,41,0.5849056603773585,0.4305555555555556,0.7922125181950509,0.36775247557763474
BOOKKEEPER,1,0.07321537522879805,0.42083333333333334,0.23920265780730898,Random Forest,No sampling,Wrapper con Best First,35,29,200,37,0.546875,0.4861111111111111,0.7614628820960698,0.3737074401008827
BOOKKEEPER,1,0.07321537522879805,0.42083333333333334,0.23920265780730898,Random Forest,Oversampling,Wrapper con Best First,48,71,158,24,0.40336134453781514,0.6666666666666666,0.7298944687045124,0.2914137033824806
BOOKKEEPER,1,0.07321537522879805,0.42083333333333334,0.23920265780730898,Random Forest,Undersampling,Wrapper con Best First,25,26,203,47,0.49019607843137253,0.3472222222222222,0.7588245997088792,0.25964486674079307
BOOKKEEPER,1,0.07321537522879805,0.42083333333333334,0.23920265780730898,Random Forest,SMOTE,Wrapper con Best First,31,29,200,41,0.5166666666666667,0.4305555555555556,0.7844492964580301,0.3223337192847035
BOOKKEEPER,1,0.07321537522879805,0.42083333333333334,0.23920265780730898,IBk,No sampling,No selection,14,11,218,58,0.56,0.19444444444444445,0.5732047549733139,0.1886158534203229
BOOKKEEPER,1,0.07321537522879805,0.42083333333333334,0.23920265780730898,IBk,Oversampling,No selection,40,30,199,32,0.5714285714285714,0.5555555555555556,0.7209485686559922,0.42863266180882975
BOOKKEEPER,1,0.07321537522879805,0.42083333333333334,0.23920265780730898,IBk,Undersampling,No selection,40,30,199,32,0.5714285714285714,0.5555555555555556,0.7188864628820961,0.42863266180882975
BOOKKEEPER,1,0.07321537522879805,0.42083333333333334,0.23920265780730898,IBk,SMOTE,No selection,40,30,199,32,0.5714285714285714,0.5555555555555556,0.7113658418243571,0.42863266180882975
BOOKKEEPER,1,0.07321537522879805,0.42083333333333334,0.23920265780730898,IBk,No sampling,CFS con Best First,34,50,179,38,0.40476190476190477,0.4722222222222222,0.6292455118874333,0.24016064257028094
