Dataset,Training_Release,%Training,%Defective_training,%Defective_testing,Classifier,Balancing,Feature_Selection,TP,FP,TN,FN,Precision,Recall,ROC_Area,Kappa
SYNCOPE,1,0.0249500090892565,0.007285974499089253,0.023636363636363636,Naive Bayes,Undersampling,No selection,1,0,537,12,1.0,0.07692307692307693,0.5836556367282624,0.1399530883502711
SYNCOPE,1,0.0249500090892565,0.007285974499089253,0.023636363636363636,Naive Bayes,No sampling,CFS con Best First,0,2,535,13,0.0,0.0,0.6259131929522991,-0.006343010490362266
SYNCOPE,1,0.0249500090892565,0.007285974499089253,0.023636363636363636,Naive Bayes,Oversampling,CFS con Best First,5,68,469,8,0.0684931506849315,0.38461538461538464,0.6259131929522991,0.07933571208316821
SYNCOPE,1,0.0249500090892565,0.007285974499089253,0.023636363636363636,Naive Bayes,Undersampling,CFS con Best First,13,537,0,0,0.023636363636363636,1.0,0.6259131929522991,0.0
SYNCOPE,1,0.0249500090892565,0.007285974499089253,0.023636363636363636,Naive Bayes,SMOTE,CFS con Best First,13,537,0,0,0.023636363636363636,1.0,0.6259131929522991,0.0
SYNCOPE,2,0.04994546446100709,0.015468607825295723,0.023508137432188065,Random Forest,No sampling,No selection,3,1,539,10,0.75,0.23076923076923078,0.9225783475783476,0.3457029149187903
SYNCOPE,2,0.04994546446100709,0.015468607825295723,0.023508137432188065,Random Forest,Oversampling,No selection,7,15,525,6,0.3181818181818182,0.5384615384615384,0.8967236467236467,0.3817281584411444
SYNCOPE,2,0.04994546446100709,0.015468607825295723,0.023508137432188065,Random Forest,Undersampling,No selection,7,15,525,6,0.3181818181818182,0.5384615384615384,0.8892450142450142,0.3817281584411444
SYNCOPE,2,0.04994546446100709,0.015468607825295723,0.023508137432188065,Random Forest,SMOTE,No selection,7,15,525,6,0.3181818181818182,0.5384615384615384,0.8981481481481481,0.3817281584411444
SYNCOPE,2,0.04994546446100709,0.015468607825295723,0.023508137432188065,Random Forest,No sampling,CFS con Best First,5,0,540,8,1.0,0.38461538461538464,0.9022079772079772,0.5496742671009774
SYNCOPE,2,0.04994546446100709,0.015468607825295723,0.023508137432188065,Random Forest,Oversampling,CFS con Best First,6,19,521,7,0.24,0.46153846153846156,0.825,0.29395010803378585
SYNCOPE,2,0.04994546446100709,0.015468607825295723,0.023508137432188065,Random Forest,Undersampling,CFS con Best First,6,16,524,7,0.2727272727272727,0.46153846153846156,0.8261396011396012,0.32284512591173
